CODE_COMITE;CODE_CAMPAGNE;CODE_OFFRE;OFF_LIBELLE
044;23BFP800;D0N76;D0N76 BF Juin S1 PA - Nouveaux
044;23BFP800;D0N77;D0N77 BF Juin S3  PA - Genereux
044;23BFP800;D0N78;D0N78 BF Juin S4 PA - Frequents moyens
044;23BFP800;D0N79;D0N79 BF Juin S5 PA - Occasionnels moyens
044;23BFP800;D0N80;D0N80 BF Juin S6 PA - Annuels moyens
044;23BFP800;D0N81;D0N81 BF Juin S7 PA - Occasionnels petits
044;23BFP800;D0N82;D0N82 BF Juin S8 PA - Annuels petits
044;23BFP800;D0N83;D0N83 BF Juin S1 PA - Nouveaux test
044;23BFP800;D0N84;D0N84 BF Juin S3 PA - Genereux test
044;23BFP800;D0N85;D0N85 BF Juin S4 PA - Frequents moyens test
044;23BFP800;D0N86;D0N86 BF Juin S5 PA - Occasionnels moyens test
044;23BFP800;D0N87;D0N87 BF Juin S6 PA - Annuels moyens test
044;23BFP800;D0N88;D0N88 BF Juin S7 PA - Occasionnels petits test
044;23BFP800;D0N89;D0N89 BF Juin S8 PA - Annuels petits test
044;23BFP800;D0N90;D0N90 BF Juin S1 PA - Nouveaux controle
044;23BFP800;D0N91;D0N91 BF Juin S3 PA - Genereux controle
044;23BFP800;D0N92;D0N92 BF Juin S4 PA - Frequents moyens controle
044;23BFP800;D0N93;D0N93 BF Juin S5 PA - Occas. moyens controle
044;23BFP800;D0N94;D0N94 BF Juin S6 PA - Annuels moyens controle
044;23BFP800;D0N95;D0N95 BF Juin S7 PA - Occas. petits controle
044;23BFP800;D0N96;D0N96 BF Juin S8 PA - Annuels petits controle
044;23BFP800;D0N97;D0N97 BF Juin  PA Divers
044;23BFP800;B0V40;B0V40 BF PA Spontanes Comites 2023
044;23BFP800;B0V42;B0V42 BF PA INTERNET 2023
044;23BFP800;B0V44;B0V44 BF Brochure tout en un PA
044;23BFP800;D0N59;D0N59 BF Avril PA S1 - Nouveaux
044;23BFP800;D0N60;D0N60 BF Avril PA S3 - Genereux
044;23BFP800;D0N61;D0N61 BF Avril PA S4 - Frequents moyens
044;23BFP800;D0N62;D0N62 BF Avril PA S5 - Occasionnels moyens
044;23BFP800;D0N63;D0N63 BF Avril PA S6 - Annuels moyens
044;23BFP800;D0N64;D0N64 BF Avril PA S7 - Occasionnels petits
044;23BFP800;D0N65;D0N65 BF Avril  PA S8 - Annuels petits
044;23BFP800;D0N66;D0N66 BF Avril PA Divers
044;23BFP800;D0N98;D0N98 BF Juillet S1 - Nouveaux
044;23BFP800;D0N99;D0N99 BF Juillet S2 - Inactifs 36-48 mois
044;23BFP800;D0O01;D0O01 BF Juillet S3 - Genereux
044;23BFP800;D0O02;D0O02 BF Juillet S4 - Frequents moyens
044;23BFP800;D0O03;D0O03 BF Juillet S5 - Occasionnels moyens
044;23BFP800;D0O04;D0O04 BF Juillet S6 - Annuels moyens
044;23BFP800;D0O05;D0O05 BF Juillet S7 - Occasionnels petits
044;23BFP800;D0O06;D0O06 BF Juillet S8 - Annuels petits
044;23BFP800;D0O23;D0O23 BF Juillet Divers
044;23BFP800;D0O07;D0O07 BF Juillet S1 - Nouveaux test
044;23BFP800;D0O08;D0O08 BF Juillet S2 - Inactifs 36-48 mois test
044;23BFP800;D0O09;D0O09 BF Juillet S3 - Genereux test
044;23BFP800;D0O10;D0O10 BF Juillet S4 - Frequents moyens test
044;23BFP800;D0O11;D0O11 BF Juillet S5 - Occasionnels moyens test
044;23BFP800;D0O12;D0O12 BF Juillet S6 - Annuels moyens test
044;23BFP800;D0O13;D0O13 BF Juillet S7 - Occasionnels petits test
044;23BFP800;D0O14;D0O14 BF Juillet S8 - Annuels petits test
044;23BFP800;D0O15;D0O15 BF Juillet S1 - Nouveaux controle
044;23BFP800;D0O16;D0O16 BF Juillet S2 - Inact 36-48 mois controle
044;23BFP800;D0O17;D0O17 BF Juillet S3 - Genereux controle
044;23BFP800;D0O18;D0O18 BF Juillet S4 - Frequents moyens controle
044;23BFP800;D0O19;D0O19 BF Juillet S5 - Occasion. moyens controle
044;23BFP800;D0O20;D0O20 BF Juillet S6 - Annuels moyens controle
044;23BFP800;D0O21;D0O21 BF Juillet S7 - Occasion. petits controle
044;23BFP800;D0O22;D0O22 BF Juillet S8 - Annuels petits controle
044;23BFP800;B0V63;B0V63 BF Mission test collecte PA  FITEX
044;23BFP800;D0O53;D0O53 BF PA FId Oct S4 - Frequents moyens
044;23BFP800;D0O54;D0O54 BF PA Fid Oct S5 - Occasionnels moyens
044;23BFP800;D0O55;D0O55 BF PA Fid Oct S6 - Annuels moyens
044;23BFP800;D0O50;D0O50 BF PA Fid Oct. S1 - Nouveaux
044;23BFP800;D0O51;D0O51 BF PA Fid Oct. S4 - Frequents moyens test
044;23BFP800;D0O52;D0O52 BF PA Fid Oct. S3 - Genereux
044;23BFP800;D0O56;D0O56 BF PA Fid Oct S7 - Occasionnels petits
044;23BFP800;D0O57;D0O57 BF PA Fid Oct S8 - Annuels petits
044;23BFP800;D0O58;D0O58 BF PA Fid Oct S10 - Inactifs 48-60 mois
044;23BFP800;D0O77;D0O77 BF PA Fid Oct Divers
044;23BFP800;D0O83;D0O83 BF PA Nov S5 - Occasionnels moyens
044;23BFP800;D0O84;D0O84 BF PA Nov S6 - Annuels moyens
044;23BFP800;D0O85;D0O85 BF PA Nov S7 - Occasionnels petits
044;23BFP800;D0O86;D0O86 BF PA Nov S8 - Annuels petits
044;23BFP800;D0O87;D0O87 BF PA Nov S10 - Inactifs 48-60 mois
044;23BFP800;D0O95;D0O95 BF PA Nov divers
044;23BFP800;D0O97;D0O97 BF Decembre S1 - Nouveaux
044;23BFP800;D0O98;D0O98 BF Decembre S2 - Inactifs 36-48 mois
044;23BFP800;D0O99;D0O99 BF Decembre S3 - Genereux
044;23BFP800;D0P01;D0P01 BF Decembre S4 - Frequents moyens
044;23BFP800;D0P02;D0P02 BF Decembre S5 - Occasionnels moyens
044;23BFP800;D0P03;D0P03 BF Decembre S6 - Annuels moyens
044;23BFP800;D0P04;D0P04 BF Decembre S7 - Occasionnels petits
044;23BFP800;D0P05;D0P05 BF Decembre S8 - Annuels petits
044;23BFP800;D0P06;D0P06 BF Decembre S10 - Inactifs 48-60 mois
044;23BFP800;D0P07;D0P07 BF Decembre divers
044;23BFP800;D0X78;D0X78 BF PA Tlmktg - TransfoDigit 24 m+ 100-500 ?
044;23BFP800;D0X79;D0X79 BF PA Tlmktg - Transfo Divers
044;23BFP800;D0X29;D0X29 BF PA TMKG-Up Digit 15?+
044;23BFP800;D0X28;D0X28 BF PA TMKG-Up Digit 5-14?
044;23BFP800;D0X30;D0X30 BF PA TMKG-Up Cour -de 24 5-14?
044;23BFP800;D0X31;D0X31 BF PA TMKG-Up Cour 24-48 5-14?
044;23BFP800;D0X32;D0X32 BF PA TMKG-Up Cour + de 48 5-14?
044;23BFP800;D0X33;D0X33 BF PA TMKG-Up Cour 15? & +
044;23BFP800;D0X34;D0X34 BF PA TMKG-Up Stre 6-24 5-10?
044;23BFP800;D0X35;D0X35 BF PA TMKG-Up Stre 6-24 11-14?
044;23BFP800;D0X36;D0X36 BF PA TMKG-Up Stre 24-48 5-14?
044;23BFP800;D0X37;D0X37 BF PA TMKG-Up Stre + de 48 5-9?
044;23BFP800;D0X38;D0X38 BF PA TMKG-Up Stre + de 48 10-14?
044;23BFP800;D0X39;D0X39 BF PA TMKG-Up Stre 15? & +
044;23BFP800;D0X41;D0X41 BF PA Telem TransfoCourrier 6-24M 50-100 ?
044;23BFP800;D0X42;D0X42 BF PA TelemTransforCourrier 6-24M 100-500 ?
044;23BFP800;D0X43;D0X43 BF PA Telem TransfoCourrier 24M+ 50-100
044;23BFP800;D0X44;D0X44 BF PA TelemTransforCourrier 24M+ 100-500 ?
044;23BFP800;D0X45;D0X45 BF PA TelemTransforDigit 6-24 mois 50-100 ?
044;23BFP800;D0X46;D0X46 BF PA TelemTransforDigit 6-24M 100-500 ?
044;23BFP800;D0X48;D0X48 BF Quete Deces PA - Fidelisation 1/10 ?
044;23BFP800;D0X49;D0X49 BF Quete Deces PA - Fidelisation 11/20 ?
044;23BFP800;D0N37;D0N37 BF Mars S1 - Nouveaux
044;23BFP800;D0N38;D0N38 BF Mars S3 - Genereux
044;23BFP800;D0N39;D0N39 BF Mars S4 - Frequents moyens
044;23BFP800;D0N41;D0N41 BF Mars S6 - Annuels moyens
044;23BFP800;D0N40;D0N40 BF Mars S5 - Occasionnels moyens
044;23BFP800;D0N42;D0N42 BF Mars S7 - Occasionnels petits
044;23BFP800;D0N43;D0N43 BF Mars S8 - Annuels petits
044;23BFP800;D0N44;D0N44 BF Mars S1 - Nouveaux test
044;23BFP800;D0N45;D0N45 BF Mars S3 - Genereux test
044;23BFP800;D0N46;D0N46 BF Mars S4 - Frequents moyens test
044;23BFP800;D0N47;D0N47 BF Mars S5 - Occasionnels moyens test
044;23BFP800;D0N48;D0N48 BF Mars S6 - Annuels moyens test
044;23BFP800;D0N49;D0N49 BF Mars S7 - Occasionnels petits test
044;23BFP800;D0N50;D0N50 BF Mars S8 - Annuels petits test
044;23BFP800;D0N51;D0N51 BF Mars S1 - Nouveaux controle
044;23BFP800;D0N52;D0N52 BF Mars S3 - Genereux controle
044;23BFP800;D0N53;D0N53 BF Mars S4 - Frequents moyens controle
044;23BFP800;D0N54;D0N54 BF Mars S5 - Occasionnels moyens controle
044;23BFP800;D0N55;D0N55 BF Mars S6 - Annuels moyens controle
044;23BFP800;D0N56;D0N56 BF Mars S7 - Occasionnels petits controle
044;23BFP800;D0N57;D0N57 BF Mars S8 - Annuels petits controle
044;23BFP800;D0N58;D0N58 BF Mars Divers
044;23BFP800;D0X82;D0X82 BF PA Formulaire - Email
044;23BFP800;D0X83;D0X83 BF PA Formulaire - SMS
044;23BFP800;D0X84;D0X84 BF PA Formulaire - QR CODE
044;23BFP800;D0X85;D0X85 BF PA Formulaire - META
044;23BFP800;D0X47;D0X47 BF PA telem transfo Digital 24 + 50-100 ?
044;23BFP800;D0X53;D0X53 BF Quete Deces PA - Fidelisation > 50 ?
044;23BFP800;D0X51;D0X51 BF Quete Deces PA - Fidelisation 31/40 ?
044;23BFP800;D0X54;D0X54 BF Quete Deces PA - Fidelisation Divers
044;23BFP800;D0X50;D0X50 BF Quete Deces PA - Fidelisation 21/30 ?
044;23BFP800;D0X52;D0X52 BF Quete Deces PA  -  Fidelisation 41/50 ?
044;23BFP800;D0N27;D0N27 BF Fevrier S1 PA - Nouveaux
044;23BFP800;D0N28;D0N28 BF Fevrier S2 PA - Inactifs 36-48 mois
044;23BFP800;D0N29;D0N29 BF Fevrier S3 PA - Genereux
044;23BFP800;D0N30;D0N30 BF Fevrier S4 PA - Frequents moyens
044;23BFP800;D0N31;D0N31 BF Fevrier S5 PA - Occasionnels moyens
044;23BFP800;D0N32;D0N32 BF Fevrier S6 PA - Annuels moyens
044;23BFP800;D0N33;D0N33 BF Fevrier S7 PA - Occasionnels petits
044;23BFP800;D0N34;D0N34 BF Fevrier S8 PA - Annuels petits
044;23BFP800;D0N35;D0N35 BF Fevrier S10 PA - Inactifs 48-60 mois
044;23BFP800;D0N36;D0N36 BF Fevrier PA Divers
044;23BFP800;B0V61;B0V61 BF Mission porte a porte 2023
044;23BFP800;D0Q80;D0Q80 BF L02 - TRADITIONS DU PERIGORD
044;23BFP800;D0Q81;D0Q81 BF L02 - TELE 7 JEUX
044;23BFP800;D0Q82;D0Q82 BF L02 - TELE 7 JOURS
044;23BFP800;D0Q83;D0Q83 BF L02 - NATURAVIGNON
044;23BFP800;D0Q84;D0Q84 BF L02 - AFIBEL
044;23BFP800;D0Q85;D0Q85 BF L02 - BLANCHE PORTE
044;23BFP800;D0Q86;D0Q86 BF L02 - TANDEM
044;23BFP800;D0Q87;D0Q87 BF L02 - PROFILIA CARITATIF
044;23BFP800;D0Q88;D0Q88 BF L02 - ATLAS FOR MEN
044;23BFP800;D0Q89;D0Q89 BF L02 - LE PARTICULIER
044;23BFP800;D0Q90;D0Q90 BF L02 - LE POINT
044;23BFP800;D0Q91;D0Q91 BF L02 - TOP SANTE
044;23BFP800;D0Q92;D0Q92 BF L02 - L-OBS
044;24BFP800;D0X87;D0X87 BF S1 - Nouveaux PA
044;24BFP800;D0X88;D0X88 BF S2 - Inactifs 36-48 mois PA
044;24BFP800;D0X89;D0X89 BF S3 - Genereux PA
044;24BFP800;D0X90;D0X90 BF S4 - Frequents moyens PA
044;24BFP800;D0X91;D0X91 BF S5 - Occasionnels moyens PA
044;24BFP800;D0X92;D0X92 BF S6 - Annuels moyens PA
044;24BFP800;D0X93;D0X93 BF S7 - Occasionnels petits PA
044;24BFP800;D0X94;D0X94 BF S8 - Annuels petits PA
044;24BFP800;D0X95;D0X95 BF S10 - Inactifs 48-60 mois PA
044;24BFP800;D0X96;D0X96 BF S1 - Nouveaux test PA
044;24BFP800;D0X97;D0X97 BF S2 - Inactifs 36-48 mois test PA
044;24BFP800;D0X98;D0X98 BF S3 - Genereux test PA
044;24BFP800;D0X99;D0X99 BF S4 - Frequents moyens test PA
044;24BFP800;D0Y01;D0Y01 BF S5 - Occasionnels moyens test PA
044;24BFP800;D0Y02;D0Y02 BF S6 - Annuels moyens test PA
044;24BFP800;D0Y03;D0Y03 BF S7 - Occasionnels petits test PA
044;24BFP800;D0Y04;D0Y04 BF S8 - Annuels petits test PA
044;24BFP800;D0Y05;D0Y05 BF S10 - Inactifs 48-60 mois test PA
044;24BFP800;D0Y06;D0Y06 BF S1 - Nouveaux controle PA
044;24BFP800;D0Y07;D0Y07 BF S2 - Inactifs 36-48 mois controle PA
044;24BFP800;D0Y08;D0Y08 BF S3 - Genereux controle PA
044;24BFP800;D0Y09;D0Y09 BF S4 - Frequents moyens controle PA
044;24BFP800;D0Y10;D0Y10 BF S5 - Occasionnels moyens controle PA
044;24BFP800;D0Y11;D0Y11 BF S6 - Annuels moyens controle PA
044;24BFP800;D0Y12;D0Y12 BF S7 - Occasionnels petits controle PA
044;24BFP800;D0Y13;D0Y13 BF S8 - Annuels petits controle PA
044;24BFP800;D0Y14;D0Y14 BF S10 - Inactifs 48-60 mois controle PA
